opportunity,customer,problem,existing_solution,direct_competitors,indirect_competitors,pricing,market_size,willingness_to_pay,market_growth,ai_leverage,ai_commoditization_risk,agi_resilience,asi_resilience,barrier_to_entry,barrier_type,capital_required,time_to_first_revenue,belgium_feasibility,eu_expansion,regulatory_difficulty,technical_difficulty,distribution_difficulty,defensibility,recurring_revenue,founder_fit,interest_fit,overall_score,status,rejection_reason
Month-end close orchestration for EU SME/lower mid-market,"Controllers 50-1,000 FTE",Spreadsheet close 6-15 days,Excel checklists,"Eagl (Ghent EUR 825k), Stacks ($35M), Easyclose/FinClose (any package), Numeric $51M, FloQast, Odoo 20 native agent",Datarails close,Easyclose EUR 705-905/mo (VERIFIED),Contested,6,7,8,6,3,2,6,MODERATE; BAD (Ghent contested),EUR 5-20k,6-12 months,6,7,2,High,6,4,8,8,8,56.6,WEAK,Crowded or platform-absorbed software layer; kept only as asset or reference (see top-20.md)
Supplier compliance passport (VSME + NIS2 + DORA) for non-tech Benelux SME suppliers,"50-250 FTE manufacturing/logistics/facility suppliers to large customers, banks",5-20 questionnaires/yr in different formats answered by one office manager,"Excel, prior answers, consultants, EcoVadis","No bundler found; Vanta/Drata (USD 7.5-12k/yr, tech), Secfix, EcoVadis, Easy Cyber Protection (BE, MSP channel), VSME tools EUR 199/yr-99/mo","ISO 27001, CyFun Basic, buyer-side platforms (IntegrityNext, 3rdRisk)",Per pillar VERIFIED above; bundle WTP INFERENCE EUR 150-500/mo,3-6k BE firms x EUR 3k = EUR 9-18M/yr (ESTIMATE),5,7,7,5,4,4,5,MODERATE; GOOD if evidence library becomes the asset; BAD credibility gap (no security background),EUR 500-2k,3-6 months,8,7,4,Moderate (evidence library + agent answering),6,6,8,5,5,56.1,RESERVE (OPP-F),"Kube ESG, EcoVadis Vitals, CyFun Small occupy the passport layer; Sunhat funded"
"Belgian public-tender bid-ops pack (attests, erkenning, UEA, financial proofs)",Construction/services SMEs bidding on Belgian public work,"80% report barriers; certificates, UEA, financial-ratio proofs unglamorous and Belgium-specific","Consultants, skip tenders, TenderWolf discovery","TenderWolf EUR 79-149/mo (AI Quickscan), Tender Experts (Tender Chat), GPC Gov, UK drafting tools GBP 15-EUR 99/mo","BOSA e-Procurement (free), EBP training, ChatGPT",TenderWolf EUR 79-149/mo; Lucius EUR 99/mo (VERIFIED); bid-ops WTP: Evidence not found,Low thousands of paying SMEs x EUR 1-1.8k/yr = EUR 2-5M/yr (ESTIMATE),5,6,6,6,3,3,3,LOW; BAD (incumbents adding AI fast),EUR 0-500,3-6 months,8,5,2,Low-moderate,5,4,6,5,5,54.6,WEAK,TenderWolf and Tender Experts add AI; bid-ops WTP unproven
Reporting-pack tie-out agent,FP&A/CFO office,Deck vs workbook vs ERP inconsistencies,"Manual four-eyes, linking add-ins","Endex ($14M, ties schedules to source), Copilot Skills, think-cell/UpSlide/Macabacus $200-360/user/yr",python-pptx scripts,Linking tools $200-360/user/yr (VERIFIED),Feature-sized,3,5,8,8,2,1,2,VERY LOW; BAD,EUR 0,n/a,6,7,1,Low,6,2,4,8,7,53.7,WEAK,Crowded or platform-absorbed software layer; kept only as asset or reference (see top-20.md)
Vendor-neutral data/MCP/portability layer for Benelux accounting stacks,"Firms, agencies, SMEs on Exact/Yuki/Silverfin/Billit/Odoo","Lock-in fear (ITAA survey), vendor failure risk","Custom wrappers, Peliqan, Chift","Peliqan EUR 150/mo, Chift (EUR 2.3M), Apideck/CData/Zapier MCP, OSS MCP servers for Yuki/Billit/Exact","Codabox, vendors' own agents","Peliqan EUR 1,800/yr (VERIFIED)",5-7k firms x EUR 1.8k = EUR 9-13M/yr already contested,3,6,7,7,3,2,3,VERY LOW; BAD (price to zero),EUR 0-500,6+ months,8,6,1,Moderate,5,2,5,7,8,53.3,WEAK,Crowded or platform-absorbed software layer; kept only as asset or reference (see top-20.md)
Odoo Belgian-localisation setup/QA service,Belgian SMEs adopting Odoo,Implementation heavier than marketed,"~130 official BE partners, EUR 5-30k implementations",Odoo partner network; Odoo ships l10n_be + Peppol natively,Freelancers,EUR 5-30k (VERIFIED),Crowded,6,6,5,6,3,2,4,LOW; BAD,EUR 0-500,1-3 months,9,5,1,Moderate,5,2,3,6,6,52.0,WEAK,Crowded or platform-absorbed software layer; kept only as asset or reference (see top-20.md)
ERP data-extraction / reporting layer for Exact/Odoo/BC,"Controllers, firms",Native reporting weak,"Manual exports, Power BI boutiques","Peliqan $199/mo, 8+ Exact-Power BI vendors incl. free Invantive, Odoo App Store connectors, Jet/Exsion/Velixo",OSS Odoo MCP (384 stars),Free to $199/mo (VERIFIED),Commoditised,3,6,6,7,2,2,3,VERY LOW; BAD,EUR 0,n/a,7,6,1,Moderate,5,2,5,7,7,51.9,WEAK,Crowded or platform-absorbed software layer; kept only as asset or reference (see top-20.md)
Client document-chasing agent for firms,BE/NL firms,#1 workflow pain,"Email, penalties","OkiOki (Xerius, EUR 8-11/mo, follows up with clients), Dytto EUR 1.5M, Silverfin Assistant, Ravical, ClearFacts, Liscio, Uku","Codabox feeds, Peppol",OkiOki EUR 8-11/mo (VERIFIED),EUR 70-130M/yr contested,6,5,8,6,3,2,5,MODERATE; BAD,EUR 2-5k,6+ months,7,6,2,Moderate,6,3,8,5,5,51.1,WEAK,Crowded or platform-absorbed software layer; kept only as asset or reference (see top-20.md)
Architect project profitability tool,Small architecture firms,Fees below fair rate,"Excel, B-abel","B-abel, PlanMolder (BE); NAV (2,200 offices) builds member tools",Generic time tracking,Evidence not found,Tiny WTP,3,3,5,6,3,3,3,LOW; BAD,EUR 0-500,6 months,8,4,1,Low,5,3,6,6,4,50.9,WEAK,Crowded or platform-absorbed software layer; kept only as asset or reference (see top-20.md)
Finance-grade VSME data via accountants,SME suppliers; their accountants,VSME requests from late 2026,"Excel, EcoVadis",10+ tools free to EUR 99/mo; VSME Ready EUR 199/yr; Eevery (accountant channel),Consultancy EUR 3-15k,VERIFIED above,Cheap,4,6,6,7,3,3,3,VERY LOW; BAD,EUR 0-500,3 months,7,7,2,Low,5,2,6,5,4,50.7,WEAK,Crowded or platform-absorbed software layer; kept only as asset or reference (see top-20.md)
Multi-country e-invoicing control layer for small groups,CFO of Benelux group with 3-10 EU entities,Patchwork of mandates,Multiple vendor contracts,"381 e-invoicing startups; DDD Invoices, A-Cube (May 2026 seeds), Storecove ~EUR 495/mo/entity, Banqup 85k SMEs, Sovos USD 15k-250k",Local accountants,VERIFIED above,Buyer count: Evidence not found,5,8,5,5,4,3,6,HIGH; BAD,EUR 20k+,12+ months,7,9,3,High,7,5,8,6,6,50.6,WEAK,Crowded or platform-absorbed software layer; kept only as asset or reference (see top-20.md)
PSP/marketplace settlement reconciliation for EU e-commerce,"E-commerce SMEs, marketplaces",Payouts and fees don't reconcile,"Excel, scripts","Actuals (NL EUR 3M, Adyen partner), Ledge $9M, A2X/Synder $29-65/mo",Bookkeepers,VERIFIED above,Real but contested,6,6,6,5,3,3,7,HIGH; GOOD for incumbents,EUR 5-20k,9+ months,6,8,3,"High (connectors, always-on)",7,6,8,5,6,50.6,WEAK,Crowded or platform-absorbed software layer; kept only as asset or reference (see top-20.md)
Accounting-firm own receivables / WIP-to-cash,BE firms 5-50 staff,Unpaid fees (23% >EUR 100k: unverified),Manual reminders,"Practice-management billing, Twikey, Clearnox EUR 100/mo",iController,Clearnox EUR 100+/mo (VERIFIED),Narrow,4,3,5,6,3,2,3,LOW; BAD,EUR 0-500,3 months,8,5,2,Low,5,2,6,6,4,49.6,WEAK,Crowded or platform-absorbed software layer; kept only as asset or reference (see top-20.md)
Structured-e-invoice AP coding for Odoo/Exact/Yuki,SME bookkeepers,Manual coding,Bookkeeper,"Exact Purchase Agent, Yuki auto-booking, ClearFacts AIR, Odoo 19 AI, Cashfeed (350 clients)",OCR tools,Bundled,Owned by incumbents,5,6,8,8,2,2,5,n/a,n/a,n/a,7,6,2,Moderate,6,2,7,6,6,48.8,REJECT,"Already built by incumbents or no wedge (see rejected-opportunities.md, stage CI)"
Odoo bank-reconciliation exception agent,Odoo SMEs,Matching degrades,Manual,"Odoo 19 AI rules, Odoo 20 learning matcher, App Store AI modules, OCA modules",Yuki/Exact,Bundled,Platform absorbed,4,5,8,9,1,1,4,n/a,n/a,n/a,8,5,1,Moderate,6,1,6,6,6,47.5,REJECT,"Already built by incumbents or no wedge (see rejected-opportunities.md, stage CI)"
Finance-automation playbooks for AI agencies,AI agencies,Shallow finance depth,Improvise,None; fold into U-089 as upsell,Agencies,ENF,Low ticket,3,5,6,8,1,1,1,n/a,n/a,n/a,8,5,1,Low,5,1,4,5,4,47.4,REJECT,"Already built by incumbents or no wedge (see rejected-opportunities.md, stage CI)"
Pay-transparency analysis for 100-249 FTE Belgian employers,HR/finance of mid-sized employers,"Gap analysis, joint pay assessment","Excel, social secretariat","Figures EUR 2,500/yr, PayAnalytics, Syndio, Ravio; SD Worx/Acerta/Securex",Law firms,"Figures EUR 2,500/yr (VERIFIED)",Transposition delayed; 100-249 count: Evidence not found,5,6,6,6,3,3,5,MODERATE; BAD (channel owned),EUR 500-2k,12+ months,6,7,5,Low,7,3,6,6,4,46.9,WEAK,Crowded or platform-absorbed software layer; kept only as asset or reference (see top-20.md)
Late-payment dunning for Belgian B2B SMEs,SMEs,Payment gap 21 days,Manual,"Clearnox EUR 129-549/mo, Chaser GBP 199-599, iController/KBC, reminders in Billit/Yuki/Exact/Odoo, ATTA",Collection agencies,VERIFIED above,Crowded,5,5,6,7,2,2,5,n/a,n/a,n/a,8,5,2,Low,6,2,7,5,4,46.3,REJECT,"Already built by incumbents or no wedge (see rejected-opportunities.md, stage CI)"
Micro-contractor retention/cash forecast,Small contractors,"Late payment, retentions",Excel,"Robaws (700+ BE customers, dealers), Vertuoza (EUR 11.2M, 3,000 users), Trezy (retention module EUR 7.50-32.50/mo)",Accountants,Trezy EUR 7.50-32.50/mo (VERIFIED),79.5% of ~160k BE construction firms have no employees,4,4,5,6,3,3,5,MODERATE; BAD,EUR 2-5k,6+ months,8,4,2,Moderate,7,3,7,5,4,46.1,WEAK,Crowded or platform-absorbed software layer; kept only as asset or reference (see top-20.md)
Syndic accounting/admin capacity,Professional syndics,"Shortage, admin overload",Syndic software,"7+ BE tools at EUR 2-4/lot/month plus free tier (Konvivio); Syndic24, TheSyndic, FMT",Volunteer syndics,EUR 2-4/lot/mo (VERIFIED),Software cheap; labour is the gap,5,5,6,6,3,3,6,MODERATE; BAD (regulated profession),EUR 2-5k,6+ months,9,4,6,Moderate,6,4,7,5,4,45.5,WEAK,Crowded or platform-absorbed software layer; kept only as asset or reference (see top-20.md)
Silverfin-lite working papers for small practices,1-10 person BE firms,"Silverfin quote-only, 50-file minimum","Excel, Octopus","Octopus (free files), Fid-Manager EUR 92/mo, AdminPulse EUR 290/mo, Silverfin (claimed 90% of Flemish accountants, unverified)",WinBooks/Bob50,VERIFIED above,Served,5,4,6,6,3,2,7,HIGH; BAD (template moat),EUR 5-20k,12 months,8,5,4,High,6,4,8,5,5,44.5,WEAK,Crowded or platform-absorbed software layer; kept only as asset or reference (see top-20.md)
Belgian corporate compliance calendar for firms,ITAA firms,Deadline juggling,Practice management,"COMAX UBO (integrates Silverfin), AdminPulse, Fid-Manager; regulator reminders",Outlook,Bundled,Solved,3,3,4,7,2,2,2,n/a,n/a,n/a,8,4,2,Low,6,2,6,5,4,44.2,REJECT,"Already built by incumbents or no wedge (see rejected-opportunities.md, stage CI)"
Transfer-pricing documentation for mid-size Belgian groups,Tax managers at >EUR 50M/100 FTE entities,Per-country detail from FY2025,Advisers,"TPGenie, Reptune, Aibidia, Exactera, Coperitas (quote-based); Big-4/mid-tier",Excel,Evidence not found,"Small, adviser-guarded",6,4,6,6,3,3,7,HIGH; BAD (credentials),EUR 500-2k,6+ months,6,6,6,Moderate,7,3,6,5,4,44.1,WEAK,Crowded or platform-absorbed software layer; kept only as asset or reference (see top-20.md)
30bis withholding check at AP payment run,Contractors,Per-invoice check,Portal,"Official billRetainment REST API + free portal; Robaws, Billit, AFAS ship it; 30bis.be webservice",Social secretariats,Free/bundled,Solved,3,3,4,7,2,3,2,n/a,n/a,n/a,9,2,2,Low,6,2,5,5,4,43.5,REJECT,"Already built by incumbents or no wedge (see rejected-opportunities.md, stage CI)"
Biztax corporate-tax preparation agent,BE firms,Tax season,Biztax/Silverfin,"Superfisc (>40% of ISOC returns), Silverfin, Adsolut, Sofisk, Wally, WK monKEY AI, GenIA-L",Manual,ENF,Attacked by incumbents,5,5,7,7,2,2,7,n/a,n/a,n/a,8,3,7,High,7,3,7,6,5,42.6,REJECT,"Already built by incumbents or no wedge (see rejected-opportunities.md, stage CI)"
NIS2 evidence pack via MSP/accountant channel,Important entities,84% not ready,MSPs,"Easy Cyber Protection (BE, MSP channel, EUR 25-9,075/client/mo), free CCB/Asphalia tools; only 2 BELAC CABs",Consultants,VERIFIED,Bottleneck is audit capacity,5,6,5,7,2,3,5,n/a,n/a,n/a,8,6,5,Moderate,7,3,6,3,3,41.8,REJECT,"Already built by incumbents or no wedge (see rejected-opportunities.md, stage CI)"
Pharmacy pricing/margin analytics,"4,581 open pharmacies (2026)",Margin setting,Wholesaler feeds,Corilus ships price checker/margin tables and markets on the Sept 2025 change,Wholesalers,Bundled,"Locked data, declining count",4,3,5,7,2,2,7,n/a,n/a,n/a,8,3,6,Moderate,7,3,6,5,4,40.7,REJECT,"Already built by incumbents or no wedge (see rejected-opportunities.md, stage CI)"
Haulier cost-per-km tool,Micro hauliers,2% margins,Federation tool,TLV/ITLB free member cost tool (road-cost.uantwerpen.be),TMS,Free,"Cash-poor, failing",2,3,4,7,2,3,4,n/a,n/a,n/a,8,3,2,Low,7,2,4,4,3,39.5,REJECT,"Already built by incumbents or no wedge (see rejected-opportunities.md, stage CI)"
CBAM certificate liability forecasting,Importers >50t,Provisioning,Excel,"CBAMBOO, SAP, Coolset, IntegrityNext ship forecasting; ~4,100 declarants EU-wide",Big-4,ENF,Tiny,4,3,5,7,2,3,6,n/a,n/a,n/a,6,6,6,Moderate,7,3,5,5,4,39.1,REJECT,"Already built by incumbents or no wedge (see rejected-opportunities.md, stage CI)"
PPWR multi-country EPR fee calculation,Consumer-goods SMEs,Per-country EPR,Suppliers' declarations,"12+ tools, five under EUR 25/mo or GBP 200/registration; Lizenzero, Cleo Labs",Fost Plus/Valipac,VERIFIED,"Cheap, product-heavy",4,5,5,7,2,3,6,n/a,n/a,n/a,5,7,5,Moderate,7,3,6,3,3,38.1,REJECT,"Already built by incumbents or no wedge (see rejected-opportunities.md, stage CI)"
